member_id,branch_no,gender,first_name,last_name,birthday,registration_date,approval_date,career,income,house_no,village_no,road,sub_area,district_area,province,postal_code
500001,3,นาย,ชัชวาล,เลิศพิทักษ์,1981-04-16,2006-03-19,2006-04-11,วิศวกรซอฟต์แวร์,78934,108/99,12,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500002,4,นาย,อารีฟีน,ฐานวัฒน์,1992-09-16,2011-01-15,2011-02-08,ช่างภาพมืออาชีพ,210559,819/14,12,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500003,4,นาง,ซาฟียะห์,สาระสิทธิ์,1965-06-17,2013-04-02,2013-04-17,นักบัญชีภาษี,209741,256/85,12,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500004,4,นาย,กนกวรรณ,กาญจนพงศ์,1980-09-16,2004-10-06,2004-10-17,ผู้จัดการโรงแรม,121277,556/53,6,ระแงะมรรคา,บางนาค,เมืองนราธิวาส,นราธิวาส,96000
500005,2,นางสาว,ศิริลักษณ์,ศานติธรรม,1983-12-13,2015-06-15,2015-06-22,เชฟอาหารฝรั่งเศส,170051,334/94,2,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500006,4,นาง,จิรายุ,อิสลามดี,1972-12-26,2002-09-18,2002-10-15,ทนายความธุรกิจ,182192,631/22,2,สุรนารี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000
500007,4,นาง,อิบราเฮม,ยะโกะ,2002-07-07,2016-07-01,2016-07-31,กราฟิกดีไซน์เนอร์,168278,271/63,20,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500008,5,นางสาว,ฟารีส,บารมีกุล,1967-04-23,2001-03-13,2001-04-06,ที่ปรึกษาการเงิน,194005,884/52,18,โชตนา,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50200
500009,3,นาง,อดิสร,อารีย์สกุล,1966-07-27,2010-05-23,2010-06-08,พยาบาลวิชาชีพ,118712,506/19,20,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500010,3,นางสาว,ซูไพดี,ชัยชนะ,1995-04-28,2016-01-10,2016-01-17,แพทย์ศัลยกรรม,79643,242/97,10,เลียบชายหาด,หนองปรือ,บางละมุง,ชลบุรี,20150
500011,1,นางสาว,สมโภชน์,วิเศษสุวรรณ,1991-10-14,2012-01-06,2012-01-14,วิศวกรซอฟต์แวร์,107738,491/50,5,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500012,5,นาย,พงศกร,อัครเดชา,2000-04-17,2024-05-10,2024-05-25,นักวิเคราะห์ข้อมูล,264024,551/26,14,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
