member_id,branch_code,prefix,name,surname,birthday,registration_date,approval_date,career,income,address,village_no,village,subdistrict,district,province,postal_code
100456,1,นาย,สมชาย,ใจดี,1990-05-15,2023-01-10,2023-01-15,พนักงานบริษัท,"35,000",123/45,1,มิตรภาพ,บางนา,บางนา,กรุงเทพมหานคร,10260
201321,2,นางสาว,สุภาภรณ์,รุ่งเรือง,1985-11-20,2023-02-20,2023-02-25,ครู,"28,000",88/9,5,สุขสันต์,ท่าศาลา,ท่าศาลา,นครศรีธรรมราช,80160
350789,3,นาง,วนิดา,แก้วใส,1978-03-01,2023-03-05,2023-03-10,ค้าขาย,"45,000",47,10,ศิริมงคล,บ้านดู่,เมืองเชียงราย,เชียงราย,57100
498112,4,นาย,พงษ์เทพ,มั่นคง,2000-07-28,2023-04-12,2023-04-18,นักศึกษา,"10,000",22/5,3,เกษมสุข,คูคต,ลำลูกกา,ปทุมธานี,12150
524670,5,นายแพทย์,อนันต์,ชื่นจิตต์,1970-12-05,2023-05-01,2023-05-05,แพทย์,"120,000",99/9,2,ราชพฤกษ์,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,50200
617534,1,นางสาว,อริสรา,วัฒนา,1995-09-18,2023-06-15,2023-06-20,วิศวกร,"55,000",33,7,สยาม,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
709845,2,นาย,ชัยวัฒน์,รักชาติ,1965-02-10,2023-07-02,2023-07-07,เกษตรกร,"20,000",11/2,4,ธรรมชาติ,หนองปรือ,บางละมุง,ชลบุรี,20150
832061,3,นาง,ดวงพร,อิ่มสุข,1980-04-25,2023-08-14,2023-08-19,แม่บ้าน,"5,000",50/1,8,พูนทรัพย์,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,10520
941587,4,นาย,นที,ทะเล,1993-01-30,2023-09-21,2023-09-25,เจ้าของกิจการ,"70,000",77,6,ริมหาด,ชะอำ,ชะอำ,เพชรบุรี,76120
156023,5,นางสาว,รัชนี,ท้องฟ้า,1998-06-12,2023-10-10,2023-10-15,ฟรีแลนซ์,"30,000",60,9,แสงตะวัน,กะทู้,กะทู้,ภูเก็ต,83120
122345,1,นาย,ชาญชัย,ว่องไว,1975-08-22,2023-11-01,2023-11-06,ช่างเทคนิค,"25,000",10/10,11,ไผ่ทอง,ปากเกร็ด,ปากเกร็ด,นนทบุรี,11120
233456,2,นาง,ยุพา,สุขสบาย,1988-01-05,2023-12-15,2023-12-20,พนักงานบัญชี,"32,000",20/3,1,มั่งมี,โคกสำโรง,โคกสำโรง,ลพบุรี,15120
344567,3,ด.ช.,ณเดชน์,เทียมฟ้า,2010-04-17,2024-01-01,2024-01-05,นักเรียน,0,15,5,ดารา,เมืองเก่า,เมืองภูเก็ต,ภูเก็ต,83000
